sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
ORD000188,CAT01,15630,20215538,20205803,20224804,4720.17,18,376.02
ORD000189,CAT06,17483,20219349,20219122,20227913,1841.2,4,368.82
ORD000190,CAT17,6481,20205333,20222300,20203770,2063.03,7,14.96
ORD000191,CAT19,1879,20213734,20210860,20205293,163.11,12,382.39
ORD000192,CAT30,3122,20230985,20221798,20234294,2123.59,9,254.75
ORD000193,CAT33,1405,20230515,20204701,20208594,254.58,7,360.85
ORD000194,CAT31,17582,20211721,20203645,20217145,731.01,7,282.48
ORD000195,CAT23,881,20213327,20212814,20218048,2083.43,15,360.68
ORD000196,CAT20,11232,20230908,20226412,20211421,1023.47,5,298.74
ORD000197,CAT26,10793,20224137,20209919,20225581,3258.5,10,65.69
ORD000198,CAT09,7192,20210268,20211812,20217529,3399.16,13,320.17
ORD000199,CAT07,16298,20204849,20229799,20218035,2019.71,12,179.15
ORD000200,CAT36,7837,20206390,20220498,20222389,261.09,8,203.2
ORD000201,CAT22,17693,20207818,20234570,20230603,2190.05,12,64.94
ORD000202,CAT34,12880,20227383,20222590,20218205,1271.14,7,232.38
ORD000203,CAT10,8437,20215548,20222117,20227450,4374.33,7,45.72
ORD000204,CAT04,18257,20205309,20202411,20203393,3576.82,11,320.51
ORD000205,CAT07,11889,20210280,20230614,20209459,4890.47,10,326.4
ORD000206,CAT26,1631,20212137,20226448,20218425,1113.67,3,72.91
ORD000207,CAT04,15079,20219729,20214345,20236641,423.86,4,319.58
ORD000208,CAT06,6131,20222319,20218831,20210121,2119.94,2,289.95
ORD000209,CAT12,5477,20219877,20207518,20221730,3802.49,15,261.51
ORD000210,CAT20,2651,20216841,20201449,20239254,1256.81,1,207.43
ORD000211,CAT37,14512,20228407,20210107,20212679,2275.44,15,30.31
ORD000212,CAT08,12786,20228118,20218735,20216903,4041.5,14,25.54
ORD000213,CAT36,18137,20216669,20214538,20213659,578.85,16,39.84
ORD000214,CAT21,9062,20213723,20219076,20223992,1944.77,10,456.98
ORD000215,CAT32,6001,20221439,20213328,20201641,4267.66,8,258.26
ORD000216,CAT22,3470,20230538,20205567,20238718,864.68,12,415.94
ORD000217,CAT11,7093,20217733,20210909,20209929,572.22,12,337.94
ORD000218,CAT09,7279,20200498,20231760,20210336,4785.86,17,10.83
ORD000219,CAT25,13647,20210416,20219708,20217413,552.46,2,196.79
ORD000220,CAT21,11177,20225443,20220197,20239620,239.3,1,440.24
ORD000221,CAT09,27,20219935,20236237,20216647,4749.22,17,93.4
ORD000222,CAT25,15582,20203636,20213692,20239136,763.61,3,247.01
ORD000223,CAT30,8875,20216996,20210665,20237442,2202.38,6,390.32
ORD000224,CAT36,13175,20227298,20203233,20219984,652.86,18,434.1
ORD000225,CAT15,18330,20229715,20222878,20233182,292.25,8,303.67
ORD000226,CAT06,11637,20224455,20213197,20227012,2540.97,6,253.32
ORD000227,CAT22,8999,20218532,20230902,20237193,2859.31,15,390.1
ORD000228,CAT33,457,20210724,20223157,20236426,1576.46,11,361.46
ORD000229,CAT20,14576,20207841,20221957,20234627,2670.09,2,450.06
ORD000230,CAT27,9060,20229356,20206147,20227326,2273.58,10,92.97
ORD000231,CAT29,11182,20200319,20223129,20230113,1844.58,2,390.13
ORD000232,CAT32,3527,20224459,20208276,20232432,4222.67,3,75.36
ORD000233,CAT35,4927,20204840,20234898,20220578,2505.72,1,148.66
ORD000234,CAT21,6539,20212916,20228970,20207567,234.57,3,437.44
ORD000235,CAT31,7998,20203355,20208314,20211808,552.99,5,197.66
ORD000236,CAT18,262,20210936,20213317,20206642,2674.72,10,395.24
ORD000237,CAT23,5846,20210929,20209559,20239606,516.47,12,299.26
ORD000238,CAT15,12458,20224165,20213229,20210548,4104.21,14,75.59
ORD000239,CAT29,16491,20213274,20204606,20216988,2679.33,11,195.87
ORD000240,CAT06,12685,20212050,20213128,20225055,4953.45,2,436.44
ORD000241,CAT25,10496,20201555,20228671,20219852,263.36,2,425.84
ORD000242,CAT17,15471,20216447,20226629,20228550,2255.53,12,185.17
ORD000243,CAT18,11306,20214101,20214200,20203164,257.05,11,385.21
ORD000244,CAT36,1744,20231119,20229916,20229111,1462.81,13,154.12
ORD000245,CAT03,13992,20202273,20214235,20234643,4591.23,18,112.26
ORD000246,CAT18,5495,20226370,20226222,20204330,2544.38,10,191.25
ORD000247,CAT01,12615,20220801,20238222,20200298,1274.04,18,316.31
ORD000248,CAT26,2997,20227277,20215331,20224885,1047.9,6,401.61
ORD000249,CAT29,11648,20206121,20208985,20202951,396.49,3,334.74
ORD000250,CAT01,8281,20201696,20224543,20222318,2006.65,17,224.52
ORD000251,CAT26,11701,20213336,20225983,20202096,4533.91,12,46.71
ORD000252,CAT37,2450,20229894,20201815,20236805,582.37,19,189.1
ORD000253,CAT26,4359,20230441,20215877,20226981,1613.21,12,478.53
ORD000254,CAT28,16880,20208352,20232928,20233840,2388.47,5,238.79
ORD000255,CAT32,15940,20230067,20223313,20207700,1175.18,5,403.84
ORD000256,CAT36,15877,20215177,20219769,20220556,1827.12,10,215.53
ORD000257,CAT06,3188,20202915,20230165,20239422,4098.65,17,242.79
ORD000258,CAT23,10035,20218118,20232570,20232521,3539.97,6,18.72
ORD000259,CAT36,1990,20228885,20223671,20217266,4961.68,1,91.8
ORD000260,CAT36,6275,20210587,20215604,20200770,3996.25,18,446.35
ORD000261,CAT37,9215,20212545,20224185,20236493,4707.61,10,425.85
ORD000262,CAT04,13249,20204057,20215689,20232500,3575.09,9,221.63
ORD000263,CAT06,10601,20203495,20232711,20233635,4628.41,12,353.9
ORD000264,CAT04,14769,20225299,20228928,20225760,927.71,4,331.24
ORD000265,CAT23,3238,20201519,20235398,20202670,3126.48,13,120.69
ORD000266,CAT06,13792,20220469,20236309,20235214,3041.27,14,380.56
ORD000267,CAT26,13312,20203734,20206903,20208229,4335.85,2,414.39
ORD000268,CAT21,8657,20228839,20221417,20231864,3433.07,10,177.87
ORD000269,CAT29,14734,20215615,20207924,20214423,437.77,18,192.59
ORD000270,CAT22,9577,20204053,20205386,20202102,4233.09,1,76.08
ORD000271,CAT31,9880,20216165,20220420,20213074,945.6,7,350.52
ORD000272,CAT05,3777,20226318,20212246,20236695,1031.98,8,494.97
ORD000273,CAT28,10264,20201694,20237433,20213684,3616.86,14,118.16
ORD000274,CAT12,18278,20206142,20235840,20239853,4366.39,15,20.59
ORD000275,CAT23,911,20213481,20201342,20237018,603.37,10,51.27
ORD000276,CAT07,7218,20205056,20214415,20234626,2920.42,10,243.79
ORD000277,CAT24,1934,20202831,20232238,20234117,774.06,1,233.2
ORD000278,CAT08,17527,20219058,20225953,20213688,2460.41,8,69.29
ORD000279,CAT10,10031,20215655,20207340,20225790,110.44,15,327.62
ORD000280,CAT31,4028,20219497,20236843,20200613,1759.56,12,70.82
ORD000281,CAT27,16923,20225722,20212204,20219783,4175.74,6,158.54
ORD000282,CAT13,6891,20204629,20226160,20229738,3047.46,15,402.95
ORD000283,CAT21,13267,20224574,20239423,20222803,3887.95,12,169.89
ORD000284,CAT26,1321,20221893,20232692,20218944,3558.72,7,80.34
ORD000285,CAT09,305,20213930,20226163,20200494,688.59,12,237.88
ORD000286,CAT03,12632,20214708,20201426,20204094,4541.1,18,198.0
ORD000287,CAT04,10050,20215932,20228235,20203825,1164.45,3,217.54
ORD000288,CAT22,14241,20213491,20200921,20201365,2303.56,19,205.78
ORD000289,CAT28,994,20216660,20205553,20225904,3278.8,17,84.15
ORD000290,CAT08,4106,20203738,20208311,20215419,3786.33,3,52.51
ORD000291,CAT14,5002,20221990,20237860,20232504,2919.22,11,288.64
ORD000292,CAT29,12187,20202733,20236330,20212423,4947.87,2,339.3
ORD000293,CAT07,421,20215417,20208423,20235090,1252.28,9,421.99
ORD000294,CAT27,6362,20220997,20234833,20233484,3023.32,11,383.47
ORD000295,CAT37,2492,20212459,20227146,20229050,3117.75,14,460.07
ORD000296,CAT28,2796,20203869,20212069,20234182,4808.59,15,111.46
ORD000297,CAT04,11090,20229329,20230803,20239028,4383.13,15,499.09
ORD000298,CAT06,10283,20201885,20223221,20207186,2383.27,1,21.65
ORD000299,CAT09,6551,20223668,20217355,20210129,3902.87,14,474.85
ORD000300,CAT34,6725,20207771,20205499,20200298,2548.52,9,303.0
ORD000301,CAT36,8776,20206098,20238487,20225932,2718.64,14,423.38
ORD000302,CAT13,1855,20213746,20211927,20209585,3086.22,16,212.9
ORD000303,CAT32,16903,20200423,20213442,20209758,1094.75,2,201.97
ORD000304,CAT03,15633,20222411,20232471,20238783,3964.17,15,439.06
ORD000305,CAT19,13362,20224641,20232350,20229623,4420.31,11,450.72
ORD000306,CAT20,17390,20224976,20231502,20239235,4067.65,4,412.67
ORD000307,CAT12,4226,20202662,20206802,20213350,2936.31,1,21.76
ORD000308,CAT15,12378,20213241,20201169,20211334,882.11,14,60.68
ORD000309,CAT20,1551,20226127,20216922,20210271,4366.45,5,14.45
ORD000310,CAT14,9028,20226286,20237338,20231193,94.98,2,432.34
ORD000311,CAT13,4458,20215907,20236620,20233509,3578.25,7,258.56
ORD000312,CAT07,9146,20226720,20202585,20228075,59.28,8,124.67
ORD000313,CAT13,6853,20204906,20221750,20224613,2908.41,14,78.8
ORD000314,CAT29,1473,20202768,20238278,20207915,1756.95,6,334.06
ORD000315,CAT11,10911,20202011,20217752,20221785,3683.67,6,284.47
ORD000316,CAT36,17193,20209732,20229533,20209029,2662.33,9,178.18
ORD000317,CAT04,13306,20211370,20218667,20232597,4915.75,14,353.64
ORD000318,CAT32,6149,20202204,20218167,20204109,1703.38,1,289.18
ORD000319,CAT19,1013,20224427,20235262,20206373,728.35,8,54.19
ORD000320,CAT18,187,20226161,20215122,20227041,3913.74,19,404.07
ORD000321,CAT36,8561,20224300,20239288,20234628,2412.17,14,60.71
ORD000322,CAT37,17750,20210956,20210214,20232943,941.71,6,111.6
ORD000323,CAT16,7947,20214278,20210148,20224066,1447.1,4,105.38
ORD000324,CAT05,10262,20206849,20233856,20237288,1698.78,12,428.19
ORD000325,CAT30,3404,20208699,20212883,20203732,552.37,16,337.16
ORD000326,CAT35,16450,20213740,20213218,20207561,1296.86,7,315.46
ORD000327,CAT26,3005,20202002,20233940,20209333,1511.12,5,465.0
ORD000328,CAT10,5396,20220159,20220295,20231476,1745.32,18,394.45
ORD000329,CAT27,7426,20227297,20236566,20214160,347.07,17,438.27
ORD000330,CAT10,11492,20219589,20217416,20206551,3344.63,18,26.73
ORD000331,CAT08,10117,20220861,20230515,20214986,2288.69,3,390.56
ORD000332,CAT10,4465,20203609,20229855,20202538,561.47,6,284.92
ORD000333,CAT13,11345,20207155,20217563,20203536,793.81,2,475.82
ORD000334,CAT07,7717,20218423,20234016,20207551,2822.38,15,16.32
ORD000335,CAT18,17118,20229243,20219949,20228888,1875.15,9,436.09
ORD000336,CAT01,7088,20218037,20235337,20212865,3651.4,19,309.75
ORD000337,CAT20,11939,20215355,20217200,20235785,4811.27,11,304.88
ORD000338,CAT36,11518,20224674,20228564,20221053,4177.67,11,190.28
ORD000339,CAT24,3343,20215870,20211446,20223267,931.41,12,337.12
ORD000340,CAT02,7904,20229365,20233014,20234114,731.51,8,361.71
ORD000341,CAT12,16518,20212986,20216652,20234013,4008.75,7,38.76
ORD000342,CAT09,14744,20225428,20219672,20207487,3455.64,6,406.57
ORD000343,CAT27,645,20201930,20206198,20230563,1177.92,6,342.93
ORD000344,CAT18,15546,20206160,20239256,20210772,3130.35,13,323.22
ORD000345,CAT33,1000,20208392,20217801,20208263,2326.8,3,51.99
ORD000346,CAT25,15524,20214956,20219597,20204405,4319.24,17,458.41
ORD000347,CAT13,17672,20221109,20224167,20237832,3821.42,15,256.29
ORD000348,CAT07,6875,20214334,20223217,20206754,4282.82,12,406.11
ORD000349,CAT27,16331,20228141,20210562,20201186,1715.45,4,499.87
ORD000350,CAT07,17639,20205989,20207180,20217099,1417.37,11,197.67
ORD000351,CAT01,11588,20219591,20210648,20233582,1486.55,15,144.43
ORD000352,CAT13,15623,20206722,20221500,20204584,2189.23,12,63.25
ORD000353,CAT14,4497,20216269,20236477,20235266,3581.56,9,180.66
ORD000354,CAT06,14971,20210633,20203710,20202494,737.5,8,455.97
ORD000355,CAT22,12984,20219339,20220598,20224251,3118.72,18,109.36
ORD000356,CAT03,5295,20210028,20205986,20238461,4753.87,4,315.47
ORD000357,CAT27,6007,20226915,20236542,20218229,3988.17,15,135.45
ORD000358,CAT35,1392,20200825,20203648,20213124,4835.02,16,60.51
ORD000359,CAT31,3392,20218880,20211504,20229544,2596.98,13,247.54
ORD000360,CAT21,9055,20215198,20221513,20236463,3029.14,10,280.86
ORD000361,CAT01,15723,20204908,20238804,20238871,4515.99,2,372.76
ORD000362,CAT25,10201,20225559,20204258,20214172,1368.73,1,323.79
ORD000363,CAT33,15357,20229910,20221330,20214038,4957.32,11,252.59
ORD000364,CAT36,15568,20207308,20210561,20228520,4241.37,18,253.82
ORD000365,CAT24,11530,20217632,20215652,20238864,544.78,18,370.2
ORD000366,CAT29,11463,20205175,20209689,20217916,355.05,9,81.12
ORD000367,CAT33,3267,20215969,20213261,20226880,88.76,1,291.67
ORD000368,CAT10,17206,20222904,20220500,20208050,2349.27,16,352.05
ORD000369,CAT08,16262,20202130,20223735,20207761,290.34,4,371.77
ORD000370,CAT32,6445,20207911,20228092,20230396,21.31,19,347.42
ORD000371,CAT01,3373,20221424,20227509,20204219,2649.48,17,420.45
ORD000372,CAT06,7439,20212478,20218202,20211497,4808.95,6,117.56
ORD000373,CAT09,10821,20219128,20230044,20225785,3936.51,2,488.65
ORD000374,CAT27,17389,20225614,20208407,20228396,2853.99,5,480.59
ORD000375,CAT25,14234,20203733,20212570,20208864,3440.37,1,297.38
ORD000376,CAT12,16657,20200847,20230413,20210057,4326.01,3,16.82
ORD000377,CAT12,15285,20209171,20223847,20231150,4278.11,2,412.28
