prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
64,PRD064,Table,1613.4,Electronics,2020-03-04,
65,PRD065,Headphones,528.22,Home,2020-03-05,
66,PRD066,Table,1232.02,Home,2020-03-06,
67,PRD067,Table,2771.6,Appliances,2020-03-07,
68,PRD068,Headphones,2182.4,Electronics,2020-03-08,
69,PRD069,Headphones,969.13,Home,2020-03-09,2025-12-31 00:00:00
70,PRD070,Mobile,2588.02,Electronics,2020-03-10,
71,PRD071,Headphones,486.65,Home,2020-03-11,
72,PRD072,Table,2137.76,Appliances,2020-03-12,
73,PRD073,Headphones,566.17,Appliances,2020-03-13,
74,PRD074,Table,449.73,Electronics,2020-03-14,
75,PRD075,Laptop,1062.73,Electronics,2020-03-15,2025-12-31 00:00:00
76,PRD076,Laptop,2828.05,Electronics,2020-03-16,
77,PRD077,Mobile,451.27,Electronics,2020-03-17,
78,PRD078,Headphones,520.36,Home,2020-03-18,
79,PRD079,Table,1934.29,Appliances,2020-03-19,
80,PRD080,TV,116.71,Electronics,2020-03-20,
81,PRD081,Headphones,2760.1,Electronics,2020-03-21,
82,PRD082,Laptop,727.95,Electronics,2020-03-22,
83,PRD083,TV,516.38,Home,2020-03-23,
84,PRD084,Headphones,296.58,Home,2020-03-24,2025-12-31 00:00:00
85,PRD085,Headphones,705.89,Appliances,2020-03-25,2025-12-31 00:00:00
86,PRD086,Laptop,1042.93,Home,2020-03-26,2025-12-31 00:00:00
87,PRD087,Table,2122.09,Home,2020-03-27,
88,PRD088,Mobile,740.12,Appliances,2020-03-28,2025-12-31 00:00:00
89,PRD089,Table,559.4,Electronics,2020-03-29,
90,PRD090,Headphones,2082.48,Home,2020-03-30,2025-12-31 00:00:00
91,PRD091,Table,815.67,Electronics,2020-03-31,2025-12-31 00:00:00
92,PRD092,Headphones,2001.21,Appliances,2020-04-01,2025-12-31 00:00:00
93,PRD093,Table,223.11,Electronics,2020-04-02,2025-12-31 00:00:00
94,PRD094,Table,998.1,Home,2020-04-03,2025-12-31 00:00:00
95,PRD095,Table,917.92,Electronics,2020-04-04,2025-12-31 00:00:00
96,PRD096,Laptop,1906.09,Home,2020-04-05,2025-12-31 00:00:00
97,PRD097,Mobile,1664.46,Home,2020-04-06,
98,PRD098,Headphones,638.26,Electronics,2020-04-07,
99,PRD099,Laptop,837.81,Home,2020-04-08,
100,PRD100,TV,1084.68,Electronics,2020-04-09,2025-12-31 00:00:00
101,PRD101,Headphones,2360.72,Home,2020-04-10,2025-12-31 00:00:00
102,PRD102,TV,439.93,Home,2020-04-11,
103,PRD103,Laptop,1676.19,Electronics,2020-04-12,
104,PRD104,Laptop,1322.58,Electronics,2020-04-13,2025-12-31 00:00:00
105,PRD105,Mobile,1002.32,Home,2020-04-14,2025-12-31 00:00:00
106,PRD106,Mobile,2190.65,Electronics,2020-04-15,2025-12-31 00:00:00
107,PRD107,Table,124.82,Electronics,2020-04-16,2025-12-31 00:00:00
108,PRD108,Table,389.0,Home,2020-04-17,2025-12-31 00:00:00
109,PRD109,Table,900.1,Electronics,2020-04-18,
110,PRD110,TV,2830.71,Home,2020-04-19,
111,PRD111,Headphones,1223.7,Appliances,2020-04-20,2025-12-31 00:00:00
112,PRD112,Headphones,1166.99,Electronics,2020-04-21,
113,PRD113,Table,1187.05,Electronics,2020-04-22,2025-12-31 00:00:00
114,PRD114,TV,2389.58,Home,2020-04-23,2025-12-31 00:00:00
115,PRD115,Laptop,2574.0,Electronics,2020-04-24,
116,PRD116,Laptop,406.82,Electronics,2020-04-25,
117,PRD117,Headphones,1173.4,Home,2020-04-26,
118,PRD118,TV,2306.15,Electronics,2020-04-27,2025-12-31 00:00:00
119,PRD119,Laptop,485.25,Electronics,2020-04-28,2025-12-31 00:00:00
120,PRD120,TV,734.5,Home,2020-04-29,2025-12-31 00:00:00
121,PRD121,Mobile,1401.82,Appliances,2020-04-30,2025-12-31 00:00:00
122,PRD122,Mobile,2876.05,Electronics,2020-05-01,2025-12-31 00:00:00
123,PRD123,Mobile,2151.81,Home,2020-05-02,2025-12-31 00:00:00
124,PRD124,Mobile,2352.19,Appliances,2020-05-03,
125,PRD125,Mobile,1509.25,Home,2020-05-04,
126,PRD126,TV,1355.09,Appliances,2020-05-05,2025-12-31 00:00:00
127,PRD127,Table,722.53,Appliances,2020-05-06,2025-12-31 00:00:00
128,PRD128,Laptop,1611.92,Appliances,2020-05-07,2025-12-31 00:00:00
129,PRD129,Headphones,1464.93,Appliances,2020-05-08,
130,PRD130,TV,114.38,Home,2020-05-09,2025-12-31 00:00:00
131,PRD131,Laptop,460.37,Appliances,2020-05-10,2025-12-31 00:00:00
132,PRD132,TV,370.42,Appliances,2020-05-11,
133,PRD133,Laptop,1139.65,Appliances,2020-05-12,
134,PRD134,Table,2307.23,Electronics,2020-05-13,2025-12-31 00:00:00
135,PRD135,Headphones,1706.78,Electronics,2020-05-14,2025-12-31 00:00:00
136,PRD136,Laptop,1715.05,Electronics,2020-05-15,2025-12-31 00:00:00
137,PRD137,Laptop,1262.38,Electronics,2020-05-16,
138,PRD138,Laptop,2585.89,Electronics,2020-05-17,
139,PRD139,Table,2996.31,Home,2020-05-18,
140,PRD140,Mobile,1423.65,Home,2020-05-19,
141,PRD141,Table,2617.54,Appliances,2020-05-20,
142,PRD142,TV,278.68,Electronics,2020-05-21,
143,PRD143,Headphones,605.61,Electronics,2020-05-22,
144,PRD144,Mobile,1401.81,Electronics,2020-05-23,2025-12-31 00:00:00
145,PRD145,Table,1752.16,Home,2020-05-24,
146,PRD146,Mobile,921.21,Appliances,2020-05-25,2025-12-31 00:00:00
147,PRD147,Laptop,723.04,Electronics,2020-05-26,
148,PRD148,Laptop,591.06,Electronics,2020-05-27,2025-12-31 00:00:00
149,PRD149,Laptop,672.32,Electronics,2020-05-28,2025-12-31 00:00:00
150,PRD150,Headphones,2106.63,Appliances,2020-05-29,2025-12-31 00:00:00
151,PRD151,TV,1609.41,Electronics,2020-05-30,
152,PRD152,Headphones,2813.72,Home,2020-05-31,2025-12-31 00:00:00
153,PRD153,Table,2427.4,Electronics,2020-06-01,2025-12-31 00:00:00
154,PRD154,Laptop,1420.85,Appliances,2020-06-02,2025-12-31 00:00:00
155,PRD155,Mobile,2665.77,Home,2020-06-03,
156,PRD156,TV,2892.93,Home,2020-06-04,
157,PRD157,Laptop,441.22,Home,2020-06-05,
158,PRD158,Laptop,865.61,Electronics,2020-06-06,
159,PRD159,Mobile,2518.4,Home,2020-06-07,2025-12-31 00:00:00
160,PRD160,Laptop,498.47,Appliances,2020-06-08,2025-12-31 00:00:00
161,PRD161,Headphones,2674.26,Electronics,2020-06-09,2025-12-31 00:00:00
162,PRD162,Laptop,2775.01,Electronics,2020-06-10,
163,PRD163,Table,704.29,Home,2020-06-11,2025-12-31 00:00:00
164,PRD164,TV,2778.35,Appliances,2020-06-12,2025-12-31 00:00:00
165,PRD165,TV,735.3,Home,2020-06-13,2025-12-31 00:00:00
166,PRD166,Laptop,1978.76,Home,2020-06-14,
167,PRD167,Laptop,1822.33,Electronics,2020-06-15,
168,PRD168,Laptop,276.24,Appliances,2020-06-16,2025-12-31 00:00:00
169,PRD169,Table,1196.68,Electronics,2020-06-17,2025-12-31 00:00:00
170,PRD170,Laptop,917.24,Electronics,2020-06-18,2025-12-31 00:00:00
171,PRD171,Laptop,788.41,Electronics,2020-06-19,2025-12-31 00:00:00
172,PRD172,TV,1662.12,Appliances,2020-06-20,2025-12-31 00:00:00
173,PRD173,Mobile,1936.35,Appliances,2020-06-21,2025-12-31 00:00:00
174,PRD174,Table,1670.09,Electronics,2020-06-22,
175,PRD175,Table,89.92,Home,2020-06-23,2025-12-31 00:00:00
176,PRD176,TV,581.5,Home,2020-06-24,2025-12-31 00:00:00
177,PRD177,Table,2244.11,Home,2020-06-25,2025-12-31 00:00:00
178,PRD178,Headphones,1765.29,Home,2020-06-26,2025-12-31 00:00:00
179,PRD179,TV,2943.67,Electronics,2020-06-27,2025-12-31 00:00:00
180,PRD180,Headphones,2547.78,Electronics,2020-06-28,
181,PRD181,Laptop,2705.02,Appliances,2020-06-29,2025-12-31 00:00:00
182,PRD182,Laptop,1933.87,Electronics,2020-06-30,
183,PRD183,Table,2907.09,Home,2020-07-01,2025-12-31 00:00:00
184,PRD184,Headphones,717.3,Home,2020-07-02,2025-12-31 00:00:00
185,PRD185,Laptop,1048.47,Home,2020-07-03,2025-12-31 00:00:00
186,PRD186,Mobile,2564.71,Electronics,2020-07-04,
187,PRD187,Headphones,2178.71,Electronics,2020-07-05,
188,PRD188,TV,478.07,Appliances,2020-07-06,
189,PRD189,Table,947.37,Appliances,2020-07-07,2025-12-31 00:00:00
190,PRD190,Headphones,1840.57,Appliances,2020-07-08,2025-12-31 00:00:00
191,PRD191,TV,513.36,Appliances,2020-07-09,
192,PRD192,Mobile,2395.68,Appliances,2020-07-10,
193,PRD193,Mobile,1466.28,Appliances,2020-07-11,2025-12-31 00:00:00
194,PRD194,TV,106.84,Electronics,2020-07-12,
195,PRD195,Table,2667.58,Appliances,2020-07-13,2025-12-31 00:00:00
196,PRD196,TV,1731.32,Appliances,2020-07-14,2025-12-31 00:00:00
197,PRD197,Table,1039.75,Electronics,2020-07-15,2025-12-31 00:00:00
198,PRD198,Laptop,1595.42,Appliances,2020-07-16,
199,PRD199,Mobile,731.75,Home,2020-07-17,
200,PRD200,Table,394.34,Electronics,2020-07-18,
201,PRD201,Table,2950.02,Appliances,2020-07-19,2025-12-31 00:00:00
202,PRD202,Laptop,2210.08,Home,2020-07-20,2025-12-31 00:00:00
203,PRD203,Mobile,2471.33,Appliances,2020-07-21,2025-12-31 00:00:00
204,PRD204,Laptop,2019.02,Appliances,2020-07-22,2025-12-31 00:00:00
205,PRD205,Table,837.98,Electronics,2020-07-23,2025-12-31 00:00:00
206,PRD206,Headphones,1780.82,Appliances,2020-07-24,2025-12-31 00:00:00
207,PRD207,Headphones,813.28,Appliances,2020-07-25,
208,PRD208,TV,273.54,Home,2020-07-26,
209,PRD209,Headphones,2332.93,Home,2020-07-27,
210,PRD210,Laptop,1122.76,Home,2020-07-28,2025-12-31 00:00:00
211,PRD211,TV,1693.82,Appliances,2020-07-29,
212,PRD212,TV,1931.42,Appliances,2020-07-30,
213,PRD213,Table,1183.67,Appliances,2020-07-31,2025-12-31 00:00:00
214,PRD214,TV,2218.55,Electronics,2020-08-01,2025-12-31 00:00:00
215,PRD215,Laptop,2530.08,Home,2020-08-02,2025-12-31 00:00:00
216,PRD216,TV,963.1,Electronics,2020-08-03,
217,PRD217,Laptop,699.47,Home,2020-08-04,2025-12-31 00:00:00
218,PRD218,Table,1795.16,Appliances,2020-08-05,2025-12-31 00:00:00
219,PRD219,Headphones,397.68,Home,2020-08-06,2025-12-31 00:00:00
220,PRD220,Headphones,629.96,Appliances,2020-08-07,2025-12-31 00:00:00
221,PRD221,Laptop,1054.09,Electronics,2020-08-08,
222,PRD222,Headphones,67.87,Electronics,2020-08-09,2025-12-31 00:00:00
223,PRD223,Mobile,2088.12,Appliances,2020-08-10,
224,PRD224,Laptop,1372.71,Appliances,2020-08-11,
225,PRD225,Table,1776.13,Appliances,2020-08-12,
226,PRD226,Laptop,1833.53,Electronics,2020-08-13,
227,PRD227,Laptop,632.46,Electronics,2020-08-14,
228,PRD228,Laptop,2610.58,Appliances,2020-08-15,
229,PRD229,Mobile,2044.14,Appliances,2020-08-16,
230,PRD230,Mobile,174.67,Appliances,2020-08-17,2025-12-31 00:00:00
231,PRD231,Mobile,2717.87,Electronics,2020-08-18,2025-12-31 00:00:00
232,PRD232,TV,1275.88,Appliances,2020-08-19,2025-12-31 00:00:00
233,PRD233,Laptop,2084.4,Appliances,2020-08-20,
234,PRD234,Mobile,1011.05,Appliances,2020-08-21,2025-12-31 00:00:00
235,PRD235,Headphones,2240.36,Electronics,2020-08-22,
236,PRD236,Mobile,1876.63,Electronics,2020-08-23,2025-12-31 00:00:00
237,PRD237,Headphones,1112.08,Home,2020-08-24,
238,PRD238,Mobile,2669.54,Home,2020-08-25,2025-12-31 00:00:00
239,PRD239,Laptop,2090.92,Home,2020-08-26,
240,PRD240,TV,1095.8,Home,2020-08-27,
241,PRD241,TV,862.04,Appliances,2020-08-28,
242,PRD242,Mobile,2095.76,Appliances,2020-08-29,2025-12-31 00:00:00
243,PRD243,TV,72.31,Electronics,2020-08-30,2025-12-31 00:00:00
244,PRD244,Mobile,1365.5,Electronics,2020-08-31,2025-12-31 00:00:00
245,PRD245,Laptop,186.17,Electronics,2020-09-01,2025-12-31 00:00:00
246,PRD246,Mobile,1416.29,Appliances,2020-09-02,2025-12-31 00:00:00
247,PRD247,TV,176.96,Home,2020-09-03,
248,PRD248,Laptop,1947.62,Electronics,2020-09-04,
249,PRD249,Laptop,2705.54,Electronics,2020-09-05,2025-12-31 00:00:00
250,PRD250,TV,746.15,Home,2020-09-06,2025-12-31 00:00:00
251,PRD251,Table,670.12,Electronics,2020-09-07,
252,PRD252,Mobile,2982.54,Appliances,2020-09-08,
253,PRD253,Mobile,2747.36,Appliances,2020-09-09,2025-12-31 00:00:00
254,PRD254,Table,2215.56,Electronics,2020-09-10,
255,PRD255,TV,1900.01,Electronics,2020-09-11,2025-12-31 00:00:00
256,PRD256,TV,1952.17,Electronics,2020-09-12,2025-12-31 00:00:00
257,PRD257,Headphones,394.4,Appliances,2020-09-13,2025-12-31 00:00:00
258,PRD258,Laptop,2674.44,Electronics,2020-09-14,2025-12-31 00:00:00
259,PRD259,TV,2237.39,Electronics,2020-09-15,2025-12-31 00:00:00
260,PRD260,Headphones,650.0,Appliances,2020-09-16,2025-12-31 00:00:00
261,PRD261,Table,2146.15,Electronics,2020-09-17,2025-12-31 00:00:00
262,PRD262,Mobile,1386.99,Home,2020-09-18,2025-12-31 00:00:00
263,PRD263,TV,1083.82,Electronics,2020-09-19,2025-12-31 00:00:00
264,PRD264,Headphones,622.75,Appliances,2020-09-20,
265,PRD265,Laptop,1197.78,Appliances,2020-09-21,2025-12-31 00:00:00
266,PRD266,Laptop,161.81,Appliances,2020-09-22,
267,PRD267,Headphones,1490.5,Home,2020-09-23,
268,PRD268,Table,1313.75,Electronics,2020-09-24,2025-12-31 00:00:00
269,PRD269,Laptop,669.13,Electronics,2020-09-25,
270,PRD270,Headphones,497.44,Appliances,2020-09-26,2025-12-31 00:00:00
271,PRD271,Mobile,1969.33,Appliances,2020-09-27,
272,PRD272,Headphones,468.03,Appliances,2020-09-28,
273,PRD273,Laptop,1913.88,Home,2020-09-29,
274,PRD274,Table,108.92,Appliances,2020-09-30,2025-12-31 00:00:00
275,PRD275,Headphones,2960.68,Electronics,2020-10-01,2025-12-31 00:00:00
276,PRD276,TV,903.65,Home,2020-10-02,
277,PRD277,TV,2560.65,Home,2020-10-03,
278,PRD278,Laptop,2912.92,Home,2020-10-04,2025-12-31 00:00:00
279,PRD279,Mobile,942.73,Appliances,2020-10-05,
280,PRD280,TV,2892.13,Electronics,2020-10-06,2025-12-31 00:00:00
281,PRD281,Laptop,2498.55,Electronics,2020-10-07,
282,PRD282,Table,2803.64,Electronics,2020-10-08,2025-12-31 00:00:00
283,PRD283,Headphones,1858.28,Home,2020-10-09,2025-12-31 00:00:00
284,PRD284,Table,194.63,Home,2020-10-10,2025-12-31 00:00:00
285,PRD285,Mobile,2024.02,Electronics,2020-10-11,
286,PRD286,Mobile,2069.48,Electronics,2020-10-12,
287,PRD287,Laptop,241.58,Appliances,2020-10-13,
288,PRD288,TV,2921.49,Home,2020-10-14,2025-12-31 00:00:00
289,PRD289,Laptop,1246.58,Appliances,2020-10-15,2025-12-31 00:00:00
290,PRD290,TV,1412.66,Appliances,2020-10-16,2025-12-31 00:00:00
291,PRD291,Table,2135.42,Appliances,2020-10-17,2025-12-31 00:00:00
292,PRD292,Laptop,1367.44,Appliances,2020-10-18,
293,PRD293,Headphones,838.05,Electronics,2020-10-19,2025-12-31 00:00:00
294,PRD294,Laptop,314.47,Electronics,2020-10-20,
295,PRD295,TV,980.75,Electronics,2020-10-21,2025-12-31 00:00:00
296,PRD296,TV,1640.53,Appliances,2020-10-22,2025-12-31 00:00:00
297,PRD297,Table,1196.47,Electronics,2020-10-23,
298,PRD298,TV,340.89,Appliances,2020-10-24,
299,PRD299,Headphones,1752.97,Electronics,2020-10-25,
300,PRD300,Headphones,487.08,Electronics,2020-10-26,
301,PRD301,Table,2834.23,Appliances,2020-10-27,
302,PRD302,Mobile,498.2,Appliances,2020-10-28,2025-12-31 00:00:00
303,PRD303,Table,807.84,Electronics,2020-10-29,
304,PRD304,Mobile,1248.94,Appliances,2020-10-30,
305,PRD305,Headphones,2899.04,Home,2020-10-31,
306,PRD306,Table,588.45,Electronics,2020-11-01,2025-12-31 00:00:00
307,PRD307,Table,2712.4,Electronics,2020-11-02,
308,PRD308,Mobile,1908.61,Appliances,2020-11-03,2025-12-31 00:00:00
309,PRD309,TV,626.0,Appliances,2020-11-04,
310,PRD310,TV,313.87,Appliances,2020-11-05,2025-12-31 00:00:00
311,PRD311,TV,1197.75,Electronics,2020-11-06,
312,PRD312,TV,363.19,Electronics,2020-11-07,2025-12-31 00:00:00
313,PRD313,Table,831.88,Home,2020-11-08,2025-12-31 00:00:00
314,PRD314,Table,1770.86,Appliances,2020-11-09,
315,PRD315,Table,513.03,Electronics,2020-11-10,2025-12-31 00:00:00
316,PRD316,Table,1032.09,Home,2020-11-11,2025-12-31 00:00:00
317,PRD317,Table,845.23,Electronics,2020-11-12,
318,PRD318,Mobile,974.75,Electronics,2020-11-13,
319,PRD319,Headphones,2547.23,Home,2020-11-14,2025-12-31 00:00:00
320,PRD320,Table,2224.51,Home,2020-11-15,
321,PRD321,Laptop,153.07,Home,2020-11-16,2025-12-31 00:00:00
322,PRD322,Headphones,2188.59,Electronics,2020-11-17,2025-12-31 00:00:00
323,PRD323,Laptop,2404.35,Home,2020-11-18,2025-12-31 00:00:00
324,PRD324,Laptop,2703.13,Electronics,2020-11-19,
325,PRD325,Headphones,2218.34,Electronics,2020-11-20,2025-12-31 00:00:00
326,PRD326,Mobile,79.0,Appliances,2020-11-21,2025-12-31 00:00:00
327,PRD327,TV,993.95,Appliances,2020-11-22,
328,PRD328,Mobile,1143.49,Home,2020-11-23,2025-12-31 00:00:00
329,PRD329,Headphones,122.67,Home,2020-11-24,2025-12-31 00:00:00
330,PRD330,TV,2787.23,Home,2020-11-25,
331,PRD331,TV,2603.87,Home,2020-11-26,2025-12-31 00:00:00
332,PRD332,Mobile,1478.36,Electronics,2020-11-27,2025-12-31 00:00:00
333,PRD333,Laptop,2500.61,Electronics,2020-11-28,2025-12-31 00:00:00
334,PRD334,Headphones,1405.9,Home,2020-11-29,
335,PRD335,Table,78.67,Electronics,2020-11-30,
336,PRD336,Headphones,2990.14,Appliances,2020-12-01,2025-12-31 00:00:00
337,PRD337,Table,995.32,Electronics,2020-12-02,2025-12-31 00:00:00
338,PRD338,Mobile,252.64,Electronics,2020-12-03,
339,PRD339,Table,1544.34,Home,2020-12-04,2025-12-31 00:00:00
340,PRD340,Table,2413.15,Electronics,2020-12-05,
341,PRD341,TV,2213.94,Appliances,2020-12-06,
342,PRD342,Headphones,1244.29,Appliances,2020-12-07,2025-12-31 00:00:00
343,PRD343,TV,1547.4,Appliances,2020-12-08,
344,PRD344,Headphones,783.39,Home,2020-12-09,2025-12-31 00:00:00
345,PRD345,Table,1246.71,Appliances,2020-12-10,2025-12-31 00:00:00
346,PRD346,Laptop,1918.92,Home,2020-12-11,2025-12-31 00:00:00
347,PRD347,Table,2909.73,Home,2020-12-12,2025-12-31 00:00:00
348,PRD348,Laptop,376.53,Home,2020-12-13,2025-12-31 00:00:00
349,PRD349,Mobile,2480.56,Appliances,2020-12-14,2025-12-31 00:00:00
350,PRD350,Headphones,1142.49,Electronics,2020-12-15,
351,PRD351,TV,1397.3,Electronics,2020-12-16,
352,PRD352,TV,392.58,Electronics,2020-12-17,2025-12-31 00:00:00
353,PRD353,TV,1715.96,Home,2020-12-18,2025-12-31 00:00:00
354,PRD354,Headphones,1166.04,Appliances,2020-12-19,2025-12-31 00:00:00
355,PRD355,Mobile,1587.26,Home,2020-12-20,2025-12-31 00:00:00
356,PRD356,Mobile,679.75,Appliances,2020-12-21,
357,PRD357,Headphones,2288.82,Appliances,2020-12-22,
358,PRD358,TV,964.74,Home,2020-12-23,
359,PRD359,Laptop,2346.61,Electronics,2020-12-24,2025-12-31 00:00:00
360,PRD360,Table,2842.51,Appliances,2020-12-25,
361,PRD361,Laptop,1880.86,Appliances,2020-12-26,2025-12-31 00:00:00
362,PRD362,Table,2716.78,Electronics,2020-12-27,
363,PRD363,Mobile,2015.62,Appliances,2020-12-28,2025-12-31 00:00:00
364,PRD364,Table,2397.44,Home,2020-12-29,2025-12-31 00:00:00
365,PRD365,Laptop,2810.63,Appliances,2020-12-30,
366,PRD366,TV,1056.36,Electronics,2020-12-31,2025-12-31 00:00:00
367,PRD367,TV,261.93,Home,2021-01-01,2025-12-31 00:00:00
368,PRD368,TV,2340.42,Electronics,2021-01-02,
369,PRD369,Mobile,2057.73,Appliances,2021-01-03,2025-12-31 00:00:00
370,PRD370,Headphones,1695.89,Appliances,2021-01-04,2025-12-31 00:00:00
371,PRD371,TV,2889.17,Electronics,2021-01-05,2025-12-31 00:00:00
372,PRD372,Mobile,1239.28,Appliances,2021-01-06,2025-12-31 00:00:00
373,PRD373,Headphones,1842.9,Home,2021-01-07,
374,PRD374,Headphones,2530.91,Appliances,2021-01-08,
375,PRD375,TV,2529.24,Home,2021-01-09,
376,PRD376,Mobile,959.12,Home,2021-01-10,2025-12-31 00:00:00
377,PRD377,Table,2079.86,Home,2021-01-11,
378,PRD378,Table,91.68,Appliances,2021-01-12,
379,PRD379,Headphones,163.84,Home,2021-01-13,
380,PRD380,Mobile,1988.49,Home,2021-01-14,
381,PRD381,Mobile,2521.68,Electronics,2021-01-15,2025-12-31 00:00:00
382,PRD382,TV,938.77,Home,2021-01-16,2025-12-31 00:00:00
383,PRD383,Laptop,1020.8,Appliances,2021-01-17,
384,PRD384,Headphones,895.99,Electronics,2021-01-18,
385,PRD385,Headphones,1903.72,Electronics,2021-01-19,
386,PRD386,Headphones,485.33,Home,2021-01-20,
387,PRD387,Laptop,2216.63,Appliances,2021-01-21,
388,PRD388,Laptop,2388.97,Appliances,2021-01-22,
389,PRD389,TV,2504.79,Electronics,2021-01-23,2025-12-31 00:00:00
390,PRD390,TV,2045.24,Appliances,2021-01-24,2025-12-31 00:00:00
391,PRD391,Mobile,2868.95,Electronics,2021-01-25,
392,PRD392,Headphones,934.77,Home,2021-01-26,2025-12-31 00:00:00
393,PRD393,Headphones,139.93,Appliances,2021-01-27,2025-12-31 00:00:00
394,PRD394,Table,378.43,Home,2021-01-28,
395,PRD395,Laptop,2677.17,Home,2021-01-29,
396,PRD396,Table,2872.13,Home,2021-01-30,
397,PRD397,Table,1294.03,Home,2021-01-31,
