CID,BDATE,GEN
CUST00241,1950-08-29,M
CUST00242,1950-08-30,F
CUST00243,1950-08-31,M
CUST00244,1950-09-01,F
CUST00245,1950-09-02,M
CUST00246,1950-09-03,M
CUST00247,1950-09-04,F
CUST00248,1950-09-05,M
CUST00249,1950-09-06,M
CUST00250,1950-09-07,F
CUST00251,1950-09-08,F
CUST00252,1950-09-09,F
CUST00253,1950-09-10,F
CUST00254,1950-09-11,M
CUST00255,1950-09-12,M
CUST00256,1950-09-13,
CUST00257,1950-09-14,F
CUST00258,1950-09-15,F
CUST00259,1950-09-16,M
CUST00260,1950-09-17,M
CUST00261,1950-09-18,F
CUST00262,1950-09-19,M
CUST00263,1950-09-20,F
CUST00264,1950-09-21,
CUST00265,1950-09-22,F
CUST00266,1950-09-23,
CUST00267,1950-09-24,F
CUST00268,1950-09-25,M
CUST00269,1950-09-26,M
CUST00270,1950-09-27,M
CUST00271,1950-09-28,M
CUST00272,1950-09-29,M
CUST00273,1950-09-30,F
CUST00274,1950-10-01,M
CUST00275,1950-10-02,F
CUST00276,1950-10-03,M
CUST00277,1950-10-04,F
CUST00278,1950-10-05,F
CUST00279,1950-10-06,F
CUST00280,1950-10-07,M
CUST00281,1950-10-08,F
CUST00282,1950-10-09,F
CUST00283,1950-10-10,F
CUST00284,1950-10-11,F
CUST00285,1950-10-12,M
CUST00286,1950-10-13,F
CUST00287,1950-10-14,F
CUST00288,1950-10-15,F
CUST00289,1950-10-16,F
CUST00290,1950-10-17,F
CUST00291,1950-10-18,M
CUST00292,1950-10-19,M
CUST00293,1950-10-20,M
CUST00294,1950-10-21,M
CUST00295,1950-10-22,M
CUST00296,1950-10-23,M
CUST00297,1950-10-24,F
CUST00298,1950-10-25,F
CUST00299,1950-10-26,F
CUST00300,1950-10-27,M
CUST00301,1950-10-28,
CUST00302,1950-10-29,F
CUST00303,1950-10-30,M
CUST00304,1950-10-31,F
CUST00305,1950-11-01,F
CUST00306,1950-11-02,
CUST00307,1950-11-03,M
CUST00308,1950-11-04,F
CUST00309,1950-11-05,M
CUST00310,1950-11-06,F
CUST00311,1950-11-07,M
CUST00312,1950-11-08,F
CUST00313,1950-11-09,F
CUST00314,1950-11-10,M
CUST00315,1950-11-11,F
CUST00316,1950-11-12,
CUST00317,1950-11-13,M
CUST00318,1950-11-14,F
CUST00319,1950-11-15,M
CUST00320,1950-11-16,
CUST00321,1950-11-17,F
CUST00322,1950-11-18,M
CUST00323,1950-11-19,M
CUST00324,1950-11-20,M
CUST00325,1950-11-21,F
CUST00326,1950-11-22,M
CUST00327,1950-11-23,M
CUST00328,1950-11-24,F
CUST00329,1950-11-25,F
CUST00330,1950-11-26,F
CUST00331,1950-11-27,F
CUST00332,1950-11-28,F
CUST00333,1950-11-29,F
CUST00334,1950-11-30,F
CUST00335,1950-12-01,F
CUST00336,1950-12-02,M
CUST00337,1950-12-03,F
CUST00338,1950-12-04,F
CUST00339,1950-12-05,F
CUST00340,1950-12-06,F
CUST00341,1950-12-07,F
CUST00342,1950-12-08,M
CUST00343,1950-12-09,M
CUST00344,1950-12-10,F
CUST00345,1950-12-11,M
CUST00346,1950-12-12,
CUST00347,1950-12-13,M
CUST00348,1950-12-14,
CUST00349,1950-12-15,M
CUST00350,1950-12-16,F
CUST00351,1950-12-17,M
CUST00352,1950-12-18,M
CUST00353,1950-12-19,M
CUST00354,1950-12-20,M
CUST00355,1950-12-21,M
CUST00356,1950-12-22,M
CUST00357,1950-12-23,F
CUST00358,1950-12-24,M
CUST00359,1950-12-25,F
CUST00360,1950-12-26,M
CUST00361,1950-12-27,F
CUST00362,1950-12-28,M
CUST00363,1950-12-29,M
CUST00364,1950-12-30,M
CUST00365,1950-12-31,M
CUST00366,1951-01-01,F
CUST00367,1951-01-02,M
CUST00368,1951-01-03,
CUST00369,1951-01-04,M
CUST00370,1951-01-05,F
CUST00371,1951-01-06,M
CUST00372,1951-01-07,F
CUST00373,1951-01-08,F
CUST00374,1951-01-09,F
CUST00375,1951-01-10,F
CUST00376,1951-01-11,F
CUST00377,1951-01-12,F
CUST00378,1951-01-13,F
CUST00379,1951-01-14,M
CUST00380,1951-01-15,F
CUST00381,1951-01-16,F
CUST00382,1951-01-17,M
CUST00383,1951-01-18,F
CUST00384,1951-01-19,F
CUST00385,1951-01-20,
CUST00386,1951-01-21,M
CUST00387,1951-01-22,M
CUST00388,1951-01-23,F
CUST00389,1951-01-24,F
CUST00390,1951-01-25,M
CUST00391,1951-01-26,M
CUST00392,1951-01-27,F
CUST00393,1951-01-28,
CUST00394,1951-01-29,M
CUST00395,1951-01-30,F
CUST00396,1951-01-31,M
CUST00397,1951-02-01,F
CUST00398,1951-02-02,M
CUST00399,1951-02-03,F
CUST00400,1951-02-04,M
CUST00401,1951-02-05,M
CUST00402,1951-02-06,M
CUST00403,1951-02-07,F
CUST00404,1951-02-08,F
CUST00405,1951-02-09,F
CUST00406,1951-02-10,M
CUST00407,1951-02-11,F
CUST00408,1951-02-12,
CUST00409,1951-02-13,M
CUST00410,1951-02-14,M
CUST00411,1951-02-15,
CUST00412,1951-02-16,M
CUST00413,1951-02-17,M
CUST00414,1951-02-18,M
CUST00415,1951-02-19,F
CUST00416,1951-02-20,M
CUST00417,1951-02-21,M
CUST00418,1951-02-22,F
CUST00419,1951-02-23,F
CUST00420,1951-02-24,F
CUST00421,1951-02-25,M
CUST00422,1951-02-26,M
CUST00423,1951-02-27,F
CUST00424,1951-02-28,
CUST00425,1951-03-01,M
CUST00426,1951-03-02,
CUST00427,1951-03-03,F
CUST00428,1951-03-04,F
CUST00429,1951-03-05,
CUST00430,1951-03-06,F
CUST00431,1951-03-07,F
CUST00432,1951-03-08,F
CUST00433,1951-03-09,M
CUST00434,1951-03-10,F
CUST00435,1951-03-11,F
CUST00436,1951-03-12,F
CUST00437,1951-03-13,M
CUST00438,1951-03-14,M
CUST00439,1951-03-15,F
CUST00440,1951-03-16,M
CUST00441,1951-03-17,M
CUST00442,1951-03-18,M
CUST00443,1951-03-19,
CUST00444,1951-03-20,F
CUST00445,1951-03-21,F
CUST00446,1951-03-22,F
CUST00447,1951-03-23,
CUST00448,1951-03-24,M
CUST00449,1951-03-25,F
CUST00450,1951-03-26,F
CUST00451,1951-03-27,M
CUST00452,1951-03-28,M
CUST00453,1951-03-29,F
CUST00454,1951-03-30,M
CUST00455,1951-03-31,M
CUST00456,1951-04-01,M
CUST00457,1951-04-02,M
CUST00458,1951-04-03,M
CUST00459,1951-04-04,M
CUST00460,1951-04-05,
CUST00461,1951-04-06,F
CUST00462,1951-04-07,F
CUST00463,1951-04-08,F
CUST00464,1951-04-09,M
CUST00465,1951-04-10,F
CUST00466,1951-04-11,
CUST00467,1951-04-12,M
CUST00468,1951-04-13,F
CUST00469,1951-04-14,M
CUST00470,1951-04-15,M
CUST00471,1951-04-16,F
CUST00472,1951-04-17,M
CUST00473,1951-04-18,F
CUST00474,1951-04-19,F
CUST00475,1951-04-20,M
CUST00476,1951-04-21,M
CUST00477,1951-04-22,M
CUST00478,1951-04-23,F
CUST00479,1951-04-24,F
CUST00480,1951-04-25,F
CUST00481,1951-04-26,M
CUST00482,1951-04-27,M
CUST00483,1951-04-28,F
CUST00484,1951-04-29,M
CUST00485,1951-04-30,M
CUST00486,1951-05-01,M
CUST00487,1951-05-02,F
CUST00488,1951-05-03,M
CUST00489,1951-05-04,F
CUST00490,1951-05-05,F
CUST00491,1951-05-06,M
CUST00492,1951-05-07,F
CUST00493,1951-05-08,M
CUST00494,1951-05-09,
CUST00495,1951-05-10,M
CUST00496,1951-05-11,M
CUST00497,1951-05-12,
CUST00498,1951-05-13,F
CUST00499,1951-05-14,F
CUST00500,1951-05-15,M
CUST00501,1951-05-16,M
CUST00502,1951-05-17,F
CUST00503,1951-05-18,F
CUST00504,1951-05-19,M
CUST00505,1951-05-20,F
CUST00506,1951-05-21,M
CUST00507,1951-05-22,F
CUST00508,1951-05-23,M
CUST00509,1951-05-24,
CUST00510,1951-05-25,F
CUST00511,1951-05-26,M
CUST00512,1951-05-27,F
CUST00513,1951-05-28,F
CUST00514,1951-05-29,F
CUST00515,1951-05-30,F
CUST00516,1951-05-31,F
CUST00517,1951-06-01,F
CUST00518,1951-06-02,
CUST00519,1951-06-03,
CUST00520,1951-06-04,F
CUST00521,1951-06-05,M
CUST00522,1951-06-06,
CUST00523,1951-06-07,M
CUST00524,1951-06-08,F
CUST00525,1951-06-09,M
CUST00526,1951-06-10,M
CUST00527,1951-06-11,M
CUST00528,1951-06-12,F
CUST00529,1951-06-13,M
CUST00530,1951-06-14,F
CUST00531,1951-06-15,M
CUST00532,1951-06-16,F
CUST00533,1951-06-17,M
CUST00534,1951-06-18,F
CUST00535,1951-06-19,F
CUST00536,1951-06-20,M
CUST00537,1951-06-21,M
CUST00538,1951-06-22,M
CUST00539,1951-06-23,F
CUST00540,1951-06-24,F
CUST00541,1951-06-25,M
CUST00542,1951-06-26,M
CUST00543,1951-06-27,M
CUST00544,1951-06-28,F
CUST00545,1951-06-29,M
CUST00546,1951-06-30,M
CUST00547,1951-07-01,M
CUST00548,1951-07-02,F
CUST00549,1951-07-03,M
CUST00550,1951-07-04,M
CUST00551,1951-07-05,M
CUST00552,1951-07-06,F
CUST00553,1951-07-07,F
CUST00554,1951-07-08,M
CUST00555,1951-07-09,
CUST00556,1951-07-10,F
CUST00557,1951-07-11,F
CUST00558,1951-07-12,F
CUST00559,1951-07-13,F
CUST00560,1951-07-14,M
CUST00561,1951-07-15,F
CUST00562,1951-07-16,F
CUST00563,1951-07-17,M
CUST00564,1951-07-18,F
CUST00565,1951-07-19,M
CUST00566,1951-07-20,M
CUST00567,1951-07-21,M
CUST00568,1951-07-22,F
CUST00569,1951-07-23,M
CUST00570,1951-07-24,M
CUST00571,1951-07-25,
CUST00572,1951-07-26,M
CUST00573,1951-07-27,F
CUST00574,1951-07-28,M
CUST00575,1951-07-29,F
CUST00576,1951-07-30,F
CUST00577,1951-07-31,M
CUST00578,1951-08-01,F
CUST00579,1951-08-02,F
CUST00580,1951-08-03,F
CUST00581,1951-08-04,M
CUST00582,1951-08-05,M
CUST00583,1951-08-06,M
CUST00584,1951-08-07,F
CUST00585,1951-08-08,M
CUST00586,1951-08-09,M
CUST00587,1951-08-10,M
CUST00588,1951-08-11,F
CUST00589,1951-08-12,M
CUST00590,1951-08-13,M
CUST00591,1951-08-14,
CUST00592,1951-08-15,M
CUST00593,1951-08-16,F
CUST00594,1951-08-17,M
CUST00595,1951-08-18,F
CUST00596,1951-08-19,M
CUST00597,1951-08-20,
CUST00598,1951-08-21,M
CUST00599,1951-08-22,M
CUST00600,1951-08-23,M
CUST00601,1951-08-24,F
CUST00602,1951-08-25,
CUST00603,1951-08-26,F
CUST00604,1951-08-27,M
CUST00605,1951-08-28,
CUST00606,1951-08-29,M
CUST00607,1951-08-30,M
CUST00608,1951-08-31,M
CUST00609,1951-09-01,F
CUST00610,1951-09-02,M
CUST00611,1951-09-03,M
CUST00612,1951-09-04,F
CUST00613,1951-09-05,M
CUST00614,1951-09-06,F
CUST00615,1951-09-07,F
CUST00616,1951-09-08,F
CUST00617,1951-09-09,F
CUST00618,1951-09-10,M
CUST00619,1951-09-11,F
CUST00620,1951-09-12,F
CUST00621,1951-09-13,M
CUST00622,1951-09-14,F
CUST00623,1951-09-15,
CUST00624,1951-09-16,M
CUST00625,1951-09-17,F
CUST00626,1951-09-18,M
CUST00627,1951-09-19,F
CUST00628,1951-09-20,F
CUST00629,1951-09-21,M
CUST00630,1951-09-22,F
CUST00631,1951-09-23,M
CUST00632,1951-09-24,M
CUST00633,1951-09-25,M
CUST00634,1951-09-26,F
CUST00635,1951-09-27,F
CUST00636,1951-09-28,
CUST00637,1951-09-29,
CUST00638,1951-09-30,
CUST00639,1951-10-01,
CUST00640,1951-10-02,F
CUST00641,1951-10-03,F
CUST00642,1951-10-04,
CUST00643,1951-10-05,M
CUST00644,1951-10-06,F
CUST00645,1951-10-07,F
CUST00646,1951-10-08,M
CUST00647,1951-10-09,F
CUST00648,1951-10-10,M
CUST00649,1951-10-11,M
CUST00650,1951-10-12,F
CUST00651,1951-10-13,F
CUST00652,1951-10-14,
CUST00653,1951-10-15,F
CUST00654,1951-10-16,M
CUST00655,1951-10-17,F
CUST00656,1951-10-18,M
CUST00657,1951-10-19,F
CUST00658,1951-10-20,F
CUST00659,1951-10-21,M
CUST00660,1951-10-22,M
CUST00661,1951-10-23,
CUST00662,1951-10-24,M
CUST00663,1951-10-25,F
CUST00664,1951-10-26,F
CUST00665,1951-10-27,F
CUST00666,1951-10-28,F
CUST00667,1951-10-29,F
CUST00668,1951-10-30,M
CUST00669,1951-10-31,F
CUST00670,1951-11-01,
CUST00671,1951-11-02,M
CUST00672,1951-11-03,F
CUST00673,1951-11-04,M
CUST00674,1951-11-05,M
CUST00675,1951-11-06,F
CUST00676,1951-11-07,F
CUST00677,1951-11-08,F
CUST00678,1951-11-09,F
CUST00679,1951-11-10,M
CUST00680,1951-11-11,F
CUST00681,1951-11-12,F
CUST00682,1951-11-13,F
CUST00683,1951-11-14,F
CUST00684,1951-11-15,F
CUST00685,1951-11-16,F
CUST00686,1951-11-17,M
CUST00687,1951-11-18,F
CUST00688,1951-11-19,M
CUST00689,1951-11-20,F
CUST00690,1951-11-21,
CUST00691,1951-11-22,F
CUST00692,1951-11-23,F
CUST00693,1951-11-24,F
CUST00694,1951-11-25,F
CUST00695,1951-11-26,F
CUST00696,1951-11-27,M
CUST00697,1951-11-28,M
CUST00698,1951-11-29,M
CUST00699,1951-11-30,M
CUST00700,1951-12-01,F
CUST00701,1951-12-02,M
CUST00702,1951-12-03,M
CUST00703,1951-12-04,M
CUST00704,1951-12-05,M
CUST00705,1951-12-06,
CUST00706,1951-12-07,M
CUST00707,1951-12-08,M
CUST00708,1951-12-09,F
CUST00709,1951-12-10,M
CUST00710,1951-12-11,
CUST00711,1951-12-12,F
CUST00712,1951-12-13,
CUST00713,1951-12-14,M
CUST00714,1951-12-15,F
CUST00715,1951-12-16,M
CUST00716,1951-12-17,M
CUST00717,1951-12-18,M
CUST00718,1951-12-19,M
CUST00719,1951-12-20,F
CUST00720,1951-12-21,M
CUST00721,1951-12-22,M
CUST00722,1951-12-23,M
CUST00723,1951-12-24,M
CUST00724,1951-12-25,M
CUST00725,1951-12-26,M
CUST00726,1951-12-27,M
CUST00727,1951-12-28,F
CUST00728,1951-12-29,M
CUST00729,1951-12-30,F
CUST00730,1951-12-31,M
CUST00731,1952-01-01,M
CUST00732,1952-01-02,F
CUST00733,1952-01-03,M
CUST00734,1952-01-04,M
CUST00735,1952-01-05,F
CUST00736,1952-01-06,M
CUST00737,1952-01-07,F
CUST00738,1952-01-08,M
CUST00739,1952-01-09,M
CUST00740,1952-01-10,F
CUST00741,1952-01-11,F
CUST00742,1952-01-12,F
CUST00743,1952-01-13,F
CUST00744,1952-01-14,F
CUST00745,1952-01-15,F
CUST00746,1952-01-16,M
CUST00747,1952-01-17,F
CUST00748,1952-01-18,F
CUST00749,1952-01-19,M
CUST00750,1952-01-20,F
CUST00751,1952-01-21,M
CUST00752,1952-01-22,M
CUST00753,1952-01-23,F
CUST00754,1952-01-24,M
CUST00755,1952-01-25,M
CUST00756,1952-01-26,M
CUST00757,1952-01-27,F
CUST00758,1952-01-28,F
CUST00759,1952-01-29,M
CUST00760,1952-01-30,F
CUST00761,1952-01-31,F
CUST00762,1952-02-01,F
CUST00763,1952-02-02,M
CUST00764,1952-02-03,M
CUST00765,1952-02-04,
CUST00766,1952-02-05,M
CUST00767,1952-02-06,M
CUST00768,1952-02-07,F
CUST00769,1952-02-08,F
CUST00770,1952-02-09,M
CUST00771,1952-02-10,M
CUST00772,1952-02-11,M
CUST00773,1952-02-12,F
CUST00774,1952-02-13,F
CUST00775,1952-02-14,M
CUST00776,1952-02-15,F
CUST00777,1952-02-16,F
CUST00778,1952-02-17,F
CUST00779,1952-02-18,F
CUST00780,1952-02-19,M
CUST00781,1952-02-20,F
CUST00782,1952-02-21,F
CUST00783,1952-02-22,F
CUST00784,1952-02-23,M
CUST00785,1952-02-24,M
CUST00786,1952-02-25,
CUST00787,1952-02-26,
CUST00788,1952-02-27,M
CUST00789,1952-02-28,
CUST00790,1952-02-29,M
CUST00791,1952-03-01,M
CUST00792,1952-03-02,F
CUST00793,1952-03-03,F
CUST00794,1952-03-04,M
CUST00795,1952-03-05,F
CUST00796,1952-03-06,F
CUST00797,1952-03-07,M
CUST00798,1952-03-08,M
CUST00799,1952-03-09,F
CUST00800,1952-03-10,M
CUST00801,1952-03-11,F
CUST00802,1952-03-12,M
CUST00803,1952-03-13,F
CUST00804,1952-03-14,F
CUST00805,1952-03-15,M
CUST00806,1952-03-16,
CUST00807,1952-03-17,F
CUST00808,1952-03-18,F
CUST00809,1952-03-19,F
CUST00810,1952-03-20,F
CUST00811,1952-03-21,
CUST00812,1952-03-22,F
CUST00813,1952-03-23,F
CUST00814,1952-03-24,
CUST00815,1952-03-25,F
CUST00816,1952-03-26,
CUST00817,1952-03-27,F
CUST00818,1952-03-28,F
CUST00819,1952-03-29,F
CUST00820,1952-03-30,M
CUST00821,1952-03-31,F
CUST00822,1952-04-01,M
CUST00823,1952-04-02,F
CUST00824,1952-04-03,
CUST00825,1952-04-04,M
CUST00826,1952-04-05,M
CUST00827,1952-04-06,F
CUST00828,1952-04-07,M
CUST00829,1952-04-08,F
CUST00830,1952-04-09,F
CUST00831,1952-04-10,M
CUST00832,1952-04-11,
CUST00833,1952-04-12,M
CUST00834,1952-04-13,M
CUST00835,1952-04-14,F
CUST00836,1952-04-15,F
CUST00837,1952-04-16,
CUST00838,1952-04-17,M
CUST00839,1952-04-18,M
CUST00840,1952-04-19,M
CUST00841,1952-04-20,F
CUST00842,1952-04-21,M
CUST00843,1952-04-22,M
CUST00844,1952-04-23,F
CUST00845,1952-04-24,
CUST00846,1952-04-25,F
CUST00847,1952-04-26,M
CUST00848,1952-04-27,
CUST00849,1952-04-28,M
CUST00850,1952-04-29,M
CUST00851,1952-04-30,M
CUST00852,1952-05-01,F
CUST00853,1952-05-02,
CUST00854,1952-05-03,F
CUST00855,1952-05-04,M
CUST00856,1952-05-05,M
CUST00857,1952-05-06,F
CUST00858,1952-05-07,
CUST00859,1952-05-08,M
CUST00860,1952-05-09,F
CUST00861,1952-05-10,M
CUST00862,1952-05-11,M
CUST00863,1952-05-12,
CUST00864,1952-05-13,M
CUST00865,1952-05-14,
CUST00866,1952-05-15,M
CUST00867,1952-05-16,M
CUST00868,1952-05-17,M
CUST00869,1952-05-18,M
CUST00870,1952-05-19,M
CUST00871,1952-05-20,F
CUST00872,1952-05-21,M
CUST00873,1952-05-22,
CUST00874,1952-05-23,M
CUST00875,1952-05-24,F
CUST00876,1952-05-25,M
CUST00877,1952-05-26,F
CUST00878,1952-05-27,M
CUST00879,1952-05-28,M
CUST00880,1952-05-29,F
CUST00881,1952-05-30,M
CUST00882,1952-05-31,M
CUST00883,1952-06-01,F
CUST00884,1952-06-02,M
CUST00885,1952-06-03,M
CUST00886,1952-06-04,M
CUST00887,1952-06-05,M
CUST00888,1952-06-06,M
CUST00889,1952-06-07,F
CUST00890,1952-06-08,F
CUST00891,1952-06-09,F
CUST00892,1952-06-10,F
CUST00893,1952-06-11,M
CUST00894,1952-06-12,M
CUST00895,1952-06-13,M
CUST00896,1952-06-14,M
CUST00897,1952-06-15,M
CUST00898,1952-06-16,F
CUST00899,1952-06-17,M
CUST00900,1952-06-18,F
CUST00901,1952-06-19,M
CUST00902,1952-06-20,F
CUST00903,1952-06-21,
CUST00904,1952-06-22,F
CUST00905,1952-06-23,F
CUST00906,1952-06-24,F
CUST00907,1952-06-25,M
CUST00908,1952-06-26,M
CUST00909,1952-06-27,F
CUST00910,1952-06-28,M
CUST00911,1952-06-29,M
CUST00912,1952-06-30,M
CUST00913,1952-07-01,M
CUST00914,1952-07-02,M
CUST00915,1952-07-03,
CUST00916,1952-07-04,F
CUST00917,1952-07-05,M
CUST00918,1952-07-06,F
CUST00919,1952-07-07,M
CUST00920,1952-07-08,F
CUST00921,1952-07-09,M
CUST00922,1952-07-10,F
CUST00923,1952-07-11,F
CUST00924,1952-07-12,F
CUST00925,1952-07-13,M
CUST00926,1952-07-14,
CUST00927,1952-07-15,M
CUST00928,1952-07-16,M
CUST00929,1952-07-17,F
CUST00930,1952-07-18,F
CUST00931,1952-07-19,M
CUST00932,1952-07-20,F
CUST00933,1952-07-21,F
CUST00934,1952-07-22,F
CUST00935,1952-07-23,M
CUST00936,1952-07-24,M
CUST00937,1952-07-25,M
CUST00938,1952-07-26,M
