CID,CNTRY
CUST00119,UK
CUST00120,USA
CUST00121,UK
CUST00122,USA
CUST00123,USA
CUST00124,CAN
CUST00125,UK
CUST00126,USA
CUST00127,USA
CUST00128,UK
CUST00129,USA
CUST00130,USA
CUST00131,USA
CUST00132,MEX
CUST00133,UK
CUST00134,MEX
CUST00135,USA
CUST00136,USA
CUST00137,USA
CUST00138,USA
CUST00139,USA
CUST00140,USA
CUST00141,USA
CUST00142,CAN
CUST00143,USA
CUST00144,MEX
CUST00145,USA
CUST00146,USA
CUST00147,UK
CUST00148,MEX
CUST00149,USA
CUST00150,USA
CUST00151,USA
CUST00152,
CUST00153,CAN
CUST00154,MEX
CUST00155,USA
CUST00156,USA
CUST00157,USA
CUST00158,UK
CUST00159,CAN
CUST00160,USA
CUST00161,MEX
CUST00162,GER
CUST00163,USA
CUST00164,CAN
CUST00165,USA
CUST00166,USA
CUST00167,MEX
CUST00168,CAN
CUST00169,USA
CUST00170,CAN
CUST00171,USA
CUST00172,CAN
CUST00173,CAN
CUST00174,UK
CUST00175,
CUST00176,USA
CUST00177,USA
CUST00178,CAN
CUST00179,USA
CUST00180,USA
CUST00181,USA
CUST00182,USA
CUST00183,USA
CUST00184,USA
CUST00185,MEX
CUST00186,CAN
CUST00187,USA
CUST00188,USA
CUST00189,CAN
CUST00190,USA
CUST00191,USA
CUST00192,MEX
CUST00193,USA
CUST00194,USA
CUST00195,CAN
CUST00196,USA
CUST00197,MEX
CUST00198,CAN
CUST00199,CAN
CUST00200,USA
CUST00201,MEX
CUST00202,USA
CUST00203,
CUST00204,USA
CUST00205,USA
CUST00206,USA
CUST00207,USA
CUST00208,UK
CUST00209,CAN
CUST00210,USA
CUST00211,UK
CUST00212,
CUST00213,USA
CUST00214,CAN
CUST00215,USA
CUST00216,CAN
CUST00217,USA
CUST00218,USA
CUST00219,UK
CUST00220,UK
CUST00221,MEX
CUST00222,
CUST00223,CAN
CUST00224,CAN
CUST00225,USA
CUST00226,CAN
CUST00227,MEX
CUST00228,USA
CUST00229,USA
CUST00230,CAN
CUST00231,UK
CUST00232,USA
CUST00233,USA
CUST00234,CAN
CUST00235,CAN
CUST00236,USA
CUST00237,USA
CUST00238,CAN
CUST00239,CAN
CUST00240,USA
CUST00241,CAN
CUST00242,USA
CUST00243,USA
CUST00244,USA
CUST00245,USA
CUST00246,UK
CUST00247,UK
CUST00248,MEX
CUST00249,USA
CUST00250,USA
CUST00251,USA
CUST00252,USA
CUST00253,CAN
CUST00254,USA
CUST00255,CAN
CUST00256,USA
CUST00257,CAN
CUST00258,USA
CUST00259,GER
CUST00260,USA
CUST00261,UK
CUST00262,USA
CUST00263,UK
CUST00264,MEX
CUST00265,USA
CUST00266,USA
CUST00267,MEX
CUST00268,GER
CUST00269,CAN
CUST00270,GER
CUST00271,
CUST00272,USA
CUST00273,GER
CUST00274,CAN
CUST00275,USA
CUST00276,USA
CUST00277,CAN
CUST00278,USA
CUST00279,UK
CUST00280,USA
CUST00281,USA
CUST00282,USA
CUST00283,USA
CUST00284,GER
CUST00285,USA
CUST00286,USA
CUST00287,UK
CUST00288,USA
CUST00289,USA
CUST00290,USA
CUST00291,USA
CUST00292,USA
CUST00293,USA
CUST00294,
CUST00295,USA
CUST00296,CAN
CUST00297,CAN
CUST00298,CAN
CUST00299,CAN
CUST00300,CAN
CUST00301,UK
CUST00302,USA
CUST00303,USA
CUST00304,
CUST00305,USA
CUST00306,GER
CUST00307,USA
CUST00308,USA
CUST00309,CAN
CUST00310,UK
CUST00311,MEX
CUST00312,UK
CUST00313,MEX
CUST00314,UK
CUST00315,UK
CUST00316,USA
CUST00317,USA
CUST00318,USA
CUST00319,USA
CUST00320,USA
CUST00321,GER
CUST00322,USA
CUST00323,USA
CUST00324,USA
CUST00325,USA
CUST00326,USA
CUST00327,UK
CUST00328,USA
CUST00329,USA
CUST00330,USA
CUST00331,GER
CUST00332,MEX
CUST00333,UK
CUST00334,MEX
CUST00335,CAN
CUST00336,USA
CUST00337,MEX
CUST00338,USA
CUST00339,CAN
CUST00340,MEX
CUST00341,USA
CUST00342,USA
CUST00343,USA
CUST00344,MEX
CUST00345,GER
CUST00346,CAN
CUST00347,GER
CUST00348,USA
CUST00349,USA
CUST00350,USA
CUST00351,
CUST00352,USA
CUST00353,MEX
CUST00354,MEX
CUST00355,USA
CUST00356,USA
CUST00357,CAN
CUST00358,CAN
CUST00359,USA
CUST00360,MEX
CUST00361,USA
CUST00362,USA
CUST00363,UK
CUST00364,UK
CUST00365,USA
CUST00366,USA
CUST00367,USA
CUST00368,UK
CUST00369,USA
CUST00370,
CUST00371,MEX
CUST00372,MEX
CUST00373,
CUST00374,GER
CUST00375,UK
CUST00376,USA
CUST00377,USA
CUST00378,CAN
CUST00379,USA
CUST00380,USA
CUST00381,CAN
CUST00382,USA
CUST00383,CAN
CUST00384,USA
CUST00385,UK
CUST00386,
CUST00387,UK
CUST00388,USA
CUST00389,MEX
CUST00390,GER
CUST00391,CAN
CUST00392,USA
CUST00393,USA
CUST00394,USA
CUST00395,UK
CUST00396,MEX
CUST00397,GER
CUST00398,GER
CUST00399,USA
CUST00400,USA
CUST00401,CAN
CUST00402,USA
CUST00403,USA
CUST00404,UK
CUST00405,USA
CUST00406,CAN
CUST00407,UK
CUST00408,UK
CUST00409,CAN
CUST00410,CAN
CUST00411,USA
CUST00412,USA
CUST00413,USA
CUST00414,CAN
CUST00415,USA
CUST00416,USA
CUST00417,USA
CUST00418,CAN
CUST00419,CAN
CUST00420,MEX
CUST00421,USA
CUST00422,USA
CUST00423,USA
CUST00424,USA
CUST00425,GER
CUST00426,MEX
CUST00427,UK
CUST00428,CAN
CUST00429,USA
CUST00430,USA
CUST00431,CAN
CUST00432,USA
CUST00433,USA
CUST00434,USA
CUST00435,UK
CUST00436,USA
CUST00437,CAN
CUST00438,CAN
CUST00439,USA
CUST00440,CAN
CUST00441,USA
CUST00442,USA
CUST00443,CAN
CUST00444,CAN
CUST00445,USA
CUST00446,GER
CUST00447,MEX
CUST00448,USA
CUST00449,USA
CUST00450,USA
CUST00451,GER
CUST00452,USA
CUST00453,USA
CUST00454,CAN
CUST00455,CAN
CUST00456,
CUST00457,USA
CUST00458,CAN
CUST00459,USA
CUST00460,USA
CUST00461,GER
CUST00462,USA
CUST00463,UK
CUST00464,MEX
CUST00465,CAN
CUST00466,
CUST00467,CAN
CUST00468,USA
CUST00469,USA
CUST00470,CAN
CUST00471,USA
CUST00472,CAN
CUST00473,USA
CUST00474,UK
CUST00475,
CUST00476,USA
CUST00477,USA
CUST00478,USA
CUST00479,USA
CUST00480,USA
CUST00481,CAN
CUST00482,UK
CUST00483,USA
CUST00484,USA
CUST00485,UK
CUST00486,CAN
CUST00487,USA
CUST00488,UK
CUST00489,USA
CUST00490,
CUST00491,CAN
CUST00492,CAN
CUST00493,UK
CUST00494,USA
CUST00495,MEX
CUST00496,USA
CUST00497,CAN
CUST00498,USA
CUST00499,USA
CUST00500,USA
CUST00501,USA
CUST00502,CAN
CUST00503,USA
CUST00504,USA
CUST00505,CAN
CUST00506,USA
CUST00507,MEX
CUST00508,MEX
CUST00509,MEX
CUST00510,GER
CUST00511,CAN
CUST00512,USA
CUST00513,USA
CUST00514,CAN
CUST00515,UK
CUST00516,USA
CUST00517,UK
CUST00518,CAN
CUST00519,CAN
CUST00520,USA
CUST00521,USA
CUST00522,USA
CUST00523,CAN
CUST00524,USA
CUST00525,USA
CUST00526,UK
CUST00527,CAN
CUST00528,USA
CUST00529,MEX
CUST00530,
CUST00531,USA
CUST00532,MEX
CUST00533,CAN
CUST00534,USA
CUST00535,USA
CUST00536,CAN
CUST00537,USA
CUST00538,MEX
CUST00539,USA
CUST00540,CAN
CUST00541,GER
CUST00542,USA
CUST00543,USA
CUST00544,CAN
CUST00545,USA
CUST00546,USA
CUST00547,USA
CUST00548,CAN
CUST00549,CAN
CUST00550,USA
CUST00551,UK
CUST00552,CAN
CUST00553,MEX
CUST00554,USA
CUST00555,USA
CUST00556,USA
CUST00557,USA
CUST00558,USA
CUST00559,USA
CUST00560,USA
CUST00561,CAN
CUST00562,USA
CUST00563,USA
CUST00564,USA
CUST00565,USA
CUST00566,MEX
CUST00567,USA
CUST00568,MEX
CUST00569,USA
CUST00570,UK
CUST00571,CAN
CUST00572,MEX
CUST00573,CAN
CUST00574,USA
CUST00575,USA
CUST00576,MEX
CUST00577,UK
CUST00578,MEX
CUST00579,USA
CUST00580,MEX
CUST00581,USA
CUST00582,USA
CUST00583,USA
CUST00584,UK
CUST00585,USA
CUST00586,USA
CUST00587,USA
CUST00588,USA
CUST00589,USA
CUST00590,USA
CUST00591,CAN
CUST00592,USA
CUST00593,USA
CUST00594,
CUST00595,CAN
CUST00596,GER
CUST00597,UK
CUST00598,CAN
CUST00599,MEX
CUST00600,USA
CUST00601,MEX
CUST00602,UK
CUST00603,USA
CUST00604,USA
CUST00605,MEX
CUST00606,USA
CUST00607,USA
CUST00608,
CUST00609,USA
CUST00610,UK
CUST00611,UK
CUST00612,USA
CUST00613,CAN
CUST00614,GER
CUST00615,USA
CUST00616,GER
CUST00617,USA
CUST00618,USA
CUST00619,USA
CUST00620,CAN
CUST00621,UK
CUST00622,USA
CUST00623,USA
CUST00624,USA
CUST00625,CAN
CUST00626,USA
CUST00627,CAN
CUST00628,USA
CUST00629,CAN
CUST00630,USA
CUST00631,USA
CUST00632,CAN
CUST00633,USA
CUST00634,USA
CUST00635,USA
CUST00636,USA
CUST00637,UK
CUST00638,CAN
CUST00639,CAN
CUST00640,USA
CUST00641,GER
CUST00642,UK
CUST00643,GER
CUST00644,MEX
CUST00645,USA
CUST00646,MEX
CUST00647,MEX
CUST00648,MEX
CUST00649,UK
CUST00650,MEX
CUST00651,USA
CUST00652,UK
CUST00653,
CUST00654,USA
CUST00655,UK
CUST00656,USA
CUST00657,USA
CUST00658,CAN
CUST00659,USA
CUST00660,USA
CUST00661,USA
CUST00662,CAN
CUST00663,GER
CUST00664,USA
CUST00665,USA
CUST00666,UK
CUST00667,UK
CUST00668,USA
CUST00669,UK
CUST00670,UK
CUST00671,USA
CUST00672,GER
CUST00673,CAN
CUST00674,USA
CUST00675,UK
CUST00676,USA
CUST00677,CAN
CUST00678,USA
CUST00679,CAN
CUST00680,USA
CUST00681,CAN
CUST00682,USA
CUST00683,USA
CUST00684,USA
CUST00685,USA
CUST00686,USA
CUST00687,USA
CUST00688,MEX
CUST00689,
CUST00690,UK
CUST00691,USA
CUST00692,CAN
CUST00693,USA
CUST00694,USA
CUST00695,GER
CUST00696,USA
CUST00697,USA
CUST00698,USA
CUST00699,
CUST00700,MEX
CUST00701,UK
CUST00702,CAN
CUST00703,USA
CUST00704,UK
CUST00705,CAN
CUST00706,MEX
CUST00707,CAN
CUST00708,USA
CUST00709,MEX
CUST00710,CAN
CUST00711,MEX
CUST00712,USA
CUST00713,
CUST00714,GER
CUST00715,USA
CUST00716,CAN
CUST00717,CAN
CUST00718,UK
CUST00719,
CUST00720,USA
CUST00721,MEX
CUST00722,CAN
CUST00723,CAN
CUST00724,GER
CUST00725,CAN
CUST00726,CAN
CUST00727,USA
CUST00728,USA
CUST00729,CAN
CUST00730,CAN
CUST00731,USA
CUST00732,
CUST00733,USA
CUST00734,
CUST00735,USA
CUST00736,USA
CUST00737,USA
CUST00738,UK
CUST00739,USA
CUST00740,USA
CUST00741,USA
CUST00742,CAN
CUST00743,USA
CUST00744,CAN
CUST00745,USA
CUST00746,USA
CUST00747,
CUST00748,USA
CUST00749,CAN
CUST00750,USA
CUST00751,CAN
CUST00752,UK
CUST00753,USA
CUST00754,
CUST00755,UK
CUST00756,CAN
CUST00757,USA
CUST00758,MEX
CUST00759,CAN
CUST00760,USA
CUST00761,USA
CUST00762,USA
CUST00763,USA
CUST00764,USA
CUST00765,USA
CUST00766,USA
CUST00767,CAN
CUST00768,UK
CUST00769,GER
CUST00770,MEX
CUST00771,CAN
CUST00772,UK
CUST00773,USA
CUST00774,CAN
CUST00775,USA
CUST00776,GER
CUST00777,USA
CUST00778,USA
CUST00779,UK
CUST00780,USA
CUST00781,USA
CUST00782,USA
CUST00783,USA
CUST00784,GER
CUST00785,USA
CUST00786,USA
CUST00787,CAN
CUST00788,USA
CUST00789,USA
CUST00790,USA
CUST00791,USA
CUST00792,CAN
CUST00793,USA
CUST00794,USA
CUST00795,MEX
CUST00796,UK
CUST00797,
CUST00798,USA
CUST00799,USA
CUST00800,USA
CUST00801,GER
CUST00802,USA
CUST00803,GER
CUST00804,USA
CUST00805,USA
CUST00806,USA
CUST00807,CAN
CUST00808,USA
CUST00809,USA
CUST00810,CAN
CUST00811,MEX
CUST00812,USA
CUST00813,CAN
CUST00814,CAN
CUST00815,USA
CUST00816,UK
CUST00817,USA
CUST00818,CAN
CUST00819,USA
CUST00820,USA
CUST00821,CAN
CUST00822,USA
CUST00823,USA
CUST00824,USA
CUST00825,MEX
CUST00826,CAN
CUST00827,CAN
CUST00828,GER
CUST00829,GER
CUST00830,USA
CUST00831,USA
CUST00832,USA
CUST00833,USA
CUST00834,USA
CUST00835,USA
CUST00836,GER
CUST00837,USA
CUST00838,CAN
CUST00839,USA
CUST00840,MEX
CUST00841,USA
CUST00842,USA
CUST00843,CAN
CUST00844,USA
CUST00845,USA
CUST00846,CAN
CUST00847,USA
CUST00848,MEX
CUST00849,CAN
CUST00850,UK
CUST00851,UK
CUST00852,CAN
CUST00853,USA
CUST00854,USA
CUST00855,
CUST00856,USA
CUST00857,CAN
CUST00858,USA
CUST00859,CAN
CUST00860,
CUST00861,USA
CUST00862,UK
CUST00863,CAN
CUST00864,UK
CUST00865,USA
CUST00866,USA
CUST00867,USA
CUST00868,USA
CUST00869,USA
CUST00870,USA
CUST00871,UK
CUST00872,CAN
CUST00873,USA
CUST00874,USA
CUST00875,USA
CUST00876,CAN
CUST00877,MEX
CUST00878,CAN
CUST00879,MEX
CUST00880,
CUST00881,CAN
CUST00882,UK
CUST00883,UK
CUST00884,
CUST00885,CAN
CUST00886,MEX
CUST00887,CAN
CUST00888,CAN
CUST00889,MEX
CUST00890,
CUST00891,USA
CUST00892,CAN
CUST00893,UK
CUST00894,CAN
CUST00895,USA
CUST00896,CAN
CUST00897,USA
CUST00898,
CUST00899,USA
CUST00900,USA
CUST00901,UK
CUST00902,USA
CUST00903,USA
CUST00904,CAN
CUST00905,USA
CUST00906,CAN
CUST00907,CAN
CUST00908,CAN
CUST00909,CAN
CUST00910,GER
CUST00911,CAN
CUST00912,USA
CUST00913,USA
CUST00914,USA
CUST00915,MEX
CUST00916,GER
CUST00917,MEX
CUST00918,CAN
CUST00919,
CUST00920,USA
CUST00921,USA
CUST00922,USA
CUST00923,USA
CUST00924,UK
CUST00925,CAN
CUST00926,USA
CUST00927,USA
CUST00928,UK
CUST00929,USA
CUST00930,USA
CUST00931,USA
CUST00932,USA
CUST00933,CAN
CUST00934,UK
CUST00935,UK
CUST00936,MEX
CUST00937,USA
CUST00938,USA
CUST00939,MEX
CUST00940,USA
CUST00941,CAN
CUST00942,UK
CUST00943,USA
CUST00944,CAN
CUST00945,USA
CUST00946,USA
CUST00947,USA
CUST00948,USA
CUST00949,USA
CUST00950,
CUST00951,
CUST00952,USA
CUST00953,USA
CUST00954,UK
CUST00955,MEX
CUST00956,USA
CUST00957,USA
CUST00958,CAN
CUST00959,USA
CUST00960,GER
CUST00961,USA
CUST00962,USA
CUST00963,GER
CUST00964,USA
CUST00965,USA
CUST00966,USA
CUST00967,USA
CUST00968,MEX
CUST00969,GER
CUST00970,MEX
CUST00971,USA
CUST00972,
CUST00973,USA
CUST00974,CAN
CUST00975,USA
CUST00976,UK
CUST00977,USA
CUST00978,CAN
CUST00979,GER
CUST00980,UK
CUST00981,UK
CUST00982,USA
CUST00983,USA
CUST00984,USA
CUST00985,MEX
CUST00986,USA
CUST00987,CAN
CUST00988,USA
CUST00989,MEX
CUST00990,GER
CUST00991,MEX
CUST00992,USA
CUST00993,UK
CUST00994,CAN
CUST00995,UK
CUST00996,USA
CUST00997,CAN
CUST00998,CAN
CUST00999,MEX
CUST01000,USA
CUST01001,USA
CUST01002,USA
CUST01003,USA
CUST01004,USA
CUST01005,MEX
CUST01006,MEX
CUST01007,USA
CUST01008,UK
CUST01009,USA
CUST01010,
CUST01011,USA
CUST01012,USA
CUST01013,CAN
CUST01014,USA
CUST01015,USA
CUST01016,MEX
CUST01017,UK
CUST01018,USA
CUST01019,CAN
CUST01020,USA
CUST01021,USA
CUST01022,CAN
CUST01023,USA
CUST01024,
CUST01025,USA
CUST01026,USA
CUST01027,USA
CUST01028,USA
CUST01029,UK
CUST01030,MEX
CUST01031,USA
CUST01032,USA
CUST01033,UK
CUST01034,USA
CUST01035,CAN
CUST01036,USA
CUST01037,UK
CUST01038,GER
CUST01039,UK
CUST01040,UK
CUST01041,USA
CUST01042,CAN
CUST01043,MEX
CUST01044,UK
CUST01045,CAN
CUST01046,CAN
CUST01047,USA
CUST01048,GER
CUST01049,USA
CUST01050,UK
CUST01051,CAN
CUST01052,USA
CUST01053,USA
CUST01054,USA
CUST01055,USA
CUST01056,USA
CUST01057,GER
CUST01058,USA
CUST01059,UK
CUST01060,CAN
CUST01061,
CUST01062,CAN
CUST01063,USA
CUST01064,USA
CUST01065,CAN
CUST01066,USA
CUST01067,USA
CUST01068,UK
CUST01069,CAN
CUST01070,USA
CUST01071,USA
CUST01072,USA
CUST01073,USA
CUST01074,CAN
CUST01075,USA
CUST01076,MEX
CUST01077,USA
CUST01078,USA
CUST01079,USA
CUST01080,USA
CUST01081,MEX
CUST01082,UK
CUST01083,USA
CUST01084,UK
CUST01085,GER
CUST01086,UK
CUST01087,USA
CUST01088,USA
CUST01089,
CUST01090,USA
CUST01091,MEX
CUST01092,UK
CUST01093,USA
CUST01094,USA
CUST01095,USA
CUST01096,
CUST01097,USA
CUST01098,USA
CUST01099,CAN
CUST01100,UK
CUST01101,MEX
CUST01102,CAN
CUST01103,USA
CUST01104,CAN
CUST01105,CAN
CUST01106,CAN
CUST01107,USA
CUST01108,MEX
CUST01109,MEX
CUST01110,USA
CUST01111,CAN
CUST01112,CAN
CUST01113,
CUST01114,USA
CUST01115,UK
CUST01116,USA
CUST01117,USA
CUST01118,USA
CUST01119,USA
CUST01120,USA
CUST01121,GER
CUST01122,USA
CUST01123,UK
CUST01124,CAN
CUST01125,USA
CUST01126,UK
CUST01127,USA
CUST01128,MEX
CUST01129,UK
CUST01130,USA
CUST01131,USA
CUST01132,USA
CUST01133,MEX
CUST01134,MEX
CUST01135,CAN
CUST01136,CAN
CUST01137,USA
CUST01138,USA
CUST01139,UK
CUST01140,USA
CUST01141,MEX
CUST01142,CAN
CUST01143,USA
CUST01144,CAN
CUST01145,
CUST01146,USA
CUST01147,MEX
CUST01148,CAN
CUST01149,GER
CUST01150,USA
CUST01151,USA
CUST01152,CAN
CUST01153,USA
CUST01154,USA
CUST01155,USA
CUST01156,USA
CUST01157,CAN
CUST01158,
CUST01159,CAN
CUST01160,
CUST01161,UK
CUST01162,USA
CUST01163,USA
CUST01164,CAN
CUST01165,USA
CUST01166,USA
CUST01167,CAN
CUST01168,USA
CUST01169,USA
CUST01170,USA
CUST01171,USA
CUST01172,USA
CUST01173,CAN
CUST01174,USA
CUST01175,USA
CUST01176,USA
CUST01177,CAN
CUST01178,USA
CUST01179,USA
CUST01180,USA
CUST01181,USA
CUST01182,USA
CUST01183,USA
CUST01184,USA
CUST01185,USA
CUST01186,USA
CUST01187,UK
CUST01188,USA
CUST01189,USA
CUST01190,USA
CUST01191,UK
CUST01192,USA
CUST01193,USA
CUST01194,GER
CUST01195,USA
CUST01196,USA
CUST01197,GER
CUST01198,USA
CUST01199,USA
CUST01200,USA
CUST01201,USA
CUST01202,UK
CUST01203,GER
CUST01204,USA
CUST01205,CAN
CUST01206,CAN
CUST01207,USA
CUST01208,USA
CUST01209,USA
CUST01210,USA
CUST01211,
CUST01212,CAN
CUST01213,USA
CUST01214,USA
CUST01215,CAN
CUST01216,USA
CUST01217,USA
CUST01218,USA
CUST01219,MEX
CUST01220,USA
CUST01221,USA
CUST01222,USA
CUST01223,CAN
CUST01224,UK
CUST01225,USA
CUST01226,CAN
CUST01227,GER
CUST01228,USA
CUST01229,USA
CUST01230,USA
CUST01231,
CUST01232,CAN
CUST01233,USA
CUST01234,USA
CUST01235,CAN
CUST01236,USA
CUST01237,USA
CUST01238,CAN
CUST01239,CAN
CUST01240,USA
CUST01241,CAN
CUST01242,USA
CUST01243,CAN
CUST01244,USA
CUST01245,CAN
CUST01246,UK
CUST01247,UK
CUST01248,USA
CUST01249,USA
CUST01250,CAN
CUST01251,USA
CUST01252,USA
CUST01253,USA
CUST01254,MEX
CUST01255,USA
CUST01256,USA
CUST01257,GER
CUST01258,MEX
CUST01259,USA
CUST01260,CAN
CUST01261,CAN
CUST01262,CAN
CUST01263,USA
CUST01264,USA
CUST01265,USA
CUST01266,MEX
CUST01267,USA
CUST01268,USA
CUST01269,CAN
CUST01270,CAN
CUST01271,MEX
CUST01272,USA
CUST01273,CAN
CUST01274,UK
CUST01275,USA
CUST01276,USA
CUST01277,MEX
CUST01278,
CUST01279,USA
CUST01280,USA
CUST01281,USA
CUST01282,CAN
CUST01283,USA
CUST01284,CAN
CUST01285,UK
CUST01286,CAN
CUST01287,
CUST01288,UK
CUST01289,MEX
CUST01290,USA
CUST01291,CAN
CUST01292,USA
CUST01293,USA
CUST01294,USA
CUST01295,USA
CUST01296,UK
CUST01297,GER
CUST01298,
CUST01299,GER
CUST01300,MEX
CUST01301,USA
CUST01302,USA
CUST01303,USA
CUST01304,USA
CUST01305,MEX
CUST01306,GER
CUST01307,CAN
CUST01308,GER
CUST01309,CAN
CUST01310,USA
CUST01311,
CUST01312,USA
CUST01313,USA
CUST01314,CAN
CUST01315,USA
CUST01316,MEX
CUST01317,USA
CUST01318,MEX
CUST01319,USA
CUST01320,USA
CUST01321,CAN
CUST01322,
CUST01323,USA
CUST01324,MEX
CUST01325,USA
CUST01326,USA
CUST01327,USA
CUST01328,USA
CUST01329,
CUST01330,CAN
CUST01331,USA
CUST01332,USA
CUST01333,CAN
CUST01334,UK
CUST01335,USA
CUST01336,UK
CUST01337,CAN
CUST01338,USA
CUST01339,USA
CUST01340,UK
CUST01341,
CUST01342,CAN
CUST01343,CAN
CUST01344,UK
CUST01345,MEX
CUST01346,UK
CUST01347,
CUST01348,CAN
CUST01349,MEX
CUST01350,USA
CUST01351,USA
CUST01352,CAN
CUST01353,CAN
CUST01354,
CUST01355,USA
CUST01356,USA
CUST01357,CAN
CUST01358,MEX
CUST01359,USA
CUST01360,GER
CUST01361,USA
CUST01362,USA
CUST01363,USA
CUST01364,CAN
CUST01365,MEX
CUST01366,USA
CUST01367,USA
CUST01368,USA
CUST01369,CAN
CUST01370,
CUST01371,CAN
CUST01372,USA
CUST01373,USA
CUST01374,UK
CUST01375,MEX
CUST01376,CAN
CUST01377,
CUST01378,USA
CUST01379,USA
CUST01380,CAN
CUST01381,USA
CUST01382,USA
CUST01383,USA
CUST01384,USA
CUST01385,MEX
CUST01386,USA
CUST01387,USA
CUST01388,CAN
CUST01389,USA
CUST01390,GER
CUST01391,USA
CUST01392,MEX
CUST01393,
CUST01394,CAN
CUST01395,UK
CUST01396,MEX
CUST01397,USA
CUST01398,USA
CUST01399,UK
CUST01400,USA
CUST01401,USA
CUST01402,UK
CUST01403,USA
CUST01404,CAN
CUST01405,USA
CUST01406,USA
CUST01407,MEX
CUST01408,USA
CUST01409,USA
CUST01410,CAN
CUST01411,CAN
CUST01412,CAN
CUST01413,MEX
CUST01414,USA
CUST01415,CAN
CUST01416,USA
CUST01417,USA
CUST01418,USA
CUST01419,GER
CUST01420,USA
CUST01421,USA
CUST01422,USA
CUST01423,USA
CUST01424,USA
CUST01425,USA
CUST01426,CAN
CUST01427,CAN
CUST01428,USA
CUST01429,CAN
CUST01430,USA
CUST01431,USA
CUST01432,USA
CUST01433,USA
CUST01434,UK
CUST01435,USA
CUST01436,USA
CUST01437,UK
CUST01438,USA
CUST01439,CAN
CUST01440,UK
CUST01441,USA
CUST01442,USA
CUST01443,USA
CUST01444,USA
CUST01445,USA
CUST01446,USA
CUST01447,USA
CUST01448,USA
CUST01449,CAN
CUST01450,USA
CUST01451,USA
CUST01452,MEX
CUST01453,CAN
CUST01454,CAN
CUST01455,UK
CUST01456,USA
CUST01457,UK
CUST01458,GER
CUST01459,USA
CUST01460,UK
CUST01461,GER
CUST01462,CAN
CUST01463,USA
CUST01464,UK
CUST01465,USA
CUST01466,CAN
CUST01467,USA
CUST01468,USA
CUST01469,USA
CUST01470,USA
CUST01471,USA
CUST01472,CAN
CUST01473,USA
CUST01474,UK
CUST01475,USA
CUST01476,MEX
CUST01477,CAN
CUST01478,UK
CUST01479,USA
CUST01480,CAN
CUST01481,USA
CUST01482,UK
CUST01483,USA
CUST01484,UK
CUST01485,
CUST01486,USA
CUST01487,USA
CUST01488,USA
CUST01489,CAN
CUST01490,MEX
CUST01491,GER
CUST01492,GER
CUST01493,CAN
CUST01494,CAN
CUST01495,CAN
CUST01496,UK
CUST01497,CAN
CUST01498,USA
CUST01499,USA
CUST01500,USA
CUST01501,USA
CUST01502,USA
CUST01503,USA
CUST01504,USA
CUST01505,USA
CUST01506,USA
CUST01507,USA
CUST01508,USA
CUST01509,MEX
CUST01510,CAN
CUST01511,USA
CUST01512,MEX
CUST01513,USA
CUST01514,USA
CUST01515,CAN
CUST01516,USA
CUST01517,USA
CUST01518,CAN
CUST01519,
